2006-04-02	39.35	37.7	35.52	47.11	16.24	0
2006-04-03	52.51	63.7	45.24	49.19	30.56	0
2006-04-04	50.95	55.9	44.59	42.04	18.73	0
2006-04-05	50.43	57.89	34.71	33.58	16.79	0
2006-04-06	41.53	52.81	0	53.08	18.36	0
2006-04-07	33.53	47.53	0	60.34	12.58	0
2006-04-08	28.51	29.52	37.09	49.25	7.902	0
2006-04-09	25.02	27.84	27.12	38.01	6.192	4.089
2006-04-10	47.41	61.66	39.09	43.73	17.62	4.053
2006-04-11	51.57	64.65	47.24	56.01	16.58	4.922
2006-04-12	44.81	57.56	61.14	57.54	19.48	10.64
2006-04-13	38.55	31.28	44.31	44.2	11.54	6.33
2006-04-14	25.93	30.79	25.63	43.01	10.42	7.007
2006-04-15	17.3	39.96	25.46	33.57	5.734	4.082
2006-04-16	13.77	34.07	23.2	35.37	4.396	3.234
2006-04-17	17.88	35.44	21.21	30.46	5.115	3.393
2006-04-18	27.53	40.47	38	47.35	12.97	3.244
2006-04-19	40.52	63.85	43.11	48.95	12.92	2.761
2006-04-20	42.32	58.34	48.66	46.31	17.23	4.598
2006-04-21	42.01	70.64	45.92	42.99	14.55	2.477
2006-04-22	30.57	68.87	45.5	56.79	14.59	3.462
2006-04-23	24.36	35.74	33.39	44.04	6.625	4.71
2006-04-24	41.71	55.44	34.61	38.88	18.23	6.903
2006-04-25	35.44	60.3	38	37.37	16.52	7.651
2006-04-26	46.54	56.3	42.91	45.82	15.52	5.541
2006-04-27	59.89	69.55	59.74	63.17	21.41	8.202
2006-04-28	53.46	100.1	46.45	49.22	30.17	10.51
2006-04-29	26.02	65.05	24.41	34.79	20.26	10.6
2006-04-30	14.05	46.73	15.88	24.34	13.79	9.065
2006-05-01	26.44	19.01	14.94	15.26	10.1	8.931
2006-05-02	45.52	31.59	39.59	34.49	15.27	8.185
2006-05-03	46.51	40.65	45.37	43.38	15.18	7.1
2006-05-04	37.84	65	39.93	52.45	21.64	8.844
2006-05-05	44.82	92.22	50.21	58.52	26.12	7.884
2006-05-06	40.34	83.14	29.03	37.28	28.1	6.148
2006-05-07	35.9	62.1	18.99	0	16.11	3.578
2006-05-08	62.52	83.84	36.97	0	0	4.169
2006-05-09	59.33	92.71	43.67	0	0	3.143
2006-05-10	44.54	71.78	32.85	0	0	3.662
2006-05-11	47.37	69.63	73.24	0	0	8.778
2006-05-12	48.52	81.91	65.35	0	11.2	7.451
2006-05-13	15.78	55.44	33.55	0	6.657	3.741
2006-05-14	21.27	48.72	25.89	0	4.967	2.764
2006-05-15	44.83	0	35.65	0	0	2.702
2006-05-16	36.6	58.1	30.15	0	0	3.098
2006-05-17	43.21	47.72	54.03	0	12.98	4.644
2006-05-18	49.23	42.6	54.63	0	16.14	6.878
2006-05-19	43.1	48.31	28.78	0	21.44	8.703
2006-05-20	25.2	45.37	28.17	0	15.4	8.445
2006-05-21	27.67	51.5	23.13	0	18.75	7.714
2006-05-22	46.26	40.55	57.19	0	18.3	9.079
2006-05-23	41.65	47.38	54.61	0	16.72	7.725
