2006-03-30	64.4	83.28	61.5	79.73	20.02	4.651	
2006-03-31	9.426	20.03	7.156	10.77	6.435	4.386	
2006-04-01	69.01	103.6	71.7	105.6	22.62	7.236	
2006-04-02	24.93	26.81	25.2	35.96	11.48	4.511	
2006-04-03	37.73	30.27	36.81	54.06	11.58	3.494	
2006-04-04	47.42	53.2	65.53	75.06	12.41	3.029	
2006-04-05	83.75	129	46.64	77.48	18.93	2.436	
2006-04-06	110.7	85.11	109.7	81.37	27.76	4.8	
2006-04-07	73.27	73.33	87.44	95.8	19.36	5.927	
2006-04-08	84.88	40.94	49.96	55.76	24.41	14.34	
2006-04-09	71.12	31.32	39.16	39.25	13.32	8.839	
2006-04-10	82.49	92.91	87.6	87.15	24.05	5.952	
2006-04-11	127.7	117.7	83.01	70.06	35.39	5.885	
2006-04-12	146.7	121.5	98.91	92.91	45.29	13.53	
2006-04-13	99.26	43.29	48.76	49.76	24.86	16.75	
2006-04-14	53.58	30.88	25.67	39.01	13.76	13.87	
2006-04-15	33.97	53.16	33.29	48.95	12.3	8.836	
2006-04-16	45.66	48.65	43.72	51.01	16.79	9.414	
2006-04-17	40.81	37.93	35.49	48.06	14.14	7.292	
2006-04-18	62.86	75.98	82.03	106.4	18.64	6.983	
2006-04-19	102	108	92.34	85.79	26.64	6.754	
2006-04-20	36.02	31.56	26.73	38.83	9.043	6.594	
2006-04-21	82.72	91.27	65.33	85.02	20	7.147	
2006-04-22	66.39	77.68	51.81	73.17	17.72	6.438	
2006-04-23	82.04	46.58	47.48	58.25	16.51	8.287	
2006-04-24	125	87.32	79.74	70.83	41.17	15.08	
2006-04-25	93.41	84.14	68.33	98.85	33.44	19.57	
2006-04-26	106.3	76.51	49.65	83.65	28.67	14.89	
2006-04-27	138.1	154.4	114.2	99.95	59.56	34.41	
2006-04-28	49.44	65.51	47.98	59.64	42.74	44.05	
2006-04-29	59.55	83.99	56.47	61.12	51.21	50.72	
2006-04-30	70.09	85.65	57.51	59.69	53.85	38.59	
2006-05-01	95.11	79.78	70.59	65.29	67.22	53.7	
2006-05-02	91.87	64.15	76	64.1	50.86	49.97	
2006-05-03	82.88	50.4	79.64	45.79	28.05	19.79	
2006-05-04	97.75	107.3	58.3	66.37	48.63	24.29	
2006-05-05	87.84	108.8	62.49	83.3	45.35	28.19	
2006-05-06	75.86	94.29	53.6	69.76	48.25	57.67	
2006-05-07	61.66	0	39.1	50.02	36.51	24.03	
2006-05-08	108.5	0	73.39	71.89	47.24	26.1	
2006-05-09	112.5	107.8	52.89	84.78	53.91	18.77	
2006-05-10	75.29	72.6	51.42	52.44	31.78	16.74	
2006-05-11	67.7	63.76	111.4	62.42	34.9	17.23	
2006-05-12	60.93	63.5	63.12	60.17	39.05	18.73	
2006-05-13	43.66	59.81	49.96	44.31	32.93	13.67	
2006-05-14	17.47	31.12	21.13	20.37	10.62	0	
2006-05-15	38.71	56.41	31.12	0	18.72	4.959	
2006-05-16	53.21	50.11	29.13	32.67	17.95	4.674	
2006-05-17	69.54	38.88	62.18	39.02	15.72	7.478	
2006-05-18	36.39	25.2	45.62	31.69	13.28	6.139	
2006-05-19	27.87	44.49	20.75	0	13.09	10.4	
2006-05-20	14.31	16.46	13.07	13.16	7.757	7.642	
2006-05-21	28.19	42.69	17.35	26.27	16.83	10.78	
2006-05-22	60.56	38.17	79.68	39.99	19.14	13.16	
2006-05-23	27.97	27.21	39.58	27.46	12.23	10.67	
2006-05-24	72.35	43.67	43.93	39.23	34.83	45.23	
2006-05-25	15.17	21.45	15.32	18.94	7.362	6.907	
2006-05-26	14.84	14.57	9.586	11.28	4.945	3.626	
2006-05-27	11.91	21.69	11.42	17	5.444	0	
2006-05-28	18.4	26.87	15.78	20.11	7.757	0	
2006-05-29	36.48	43.1	26.04	28.7	11.56	0	
2006-05-30	25.48	30.72	8.856	12.74	6.553	4.196	
2006-05-31	27.56	28.37	11.24	14.94	9.544	6.124	
2006-06-01	38.29	41.2	15.77	62.2	13.63	7.199	
2006-06-02	42.08	36.56	26.68	49.76	15.7	7.814	
2006-06-03	19.46	23.02	14.83	31.79	9.338	7.812	
2006-06-04	17.93	20.08	10.73	23.91	8.095	4.454	
2006-06-05	21.66	29.25	13.38	39.28	18.74	4.516	
2006-06-06	12.45	19.33	10.29	34.49	9.798	4.541	
2006-06-07	37.68	33.92	24.72	61	13.72	6.143	
2006-06-08	37.3	52.31	22.75	37.9	16.63	8.674	
2006-06-09	31.47	32.52	24.91	33.21	17.68	9.976	
2006-06-10	24.49	23.89	16.55	27.84	13.04	7.807	
2006-06-11	25.52	27.16	24.95	10.18	16.06	10.52	
2006-06-12	46.18	44.63	42.56	48.85	22.7	15.19	
2006-06-13	52.92	46	72.55	70.79	26.69	17.11	
2006-06-14	42.19	43.1	76.03	47.39	22.02	14.48	
2006-06-15	30.06	32.02	23.41	41.33	13	8.92	
2006-06-16	0	36.23	30.23	40.46	13.59	0	
2006-06-17	22.3	30.39	26.91	30.4	13.61	0	
2006-06-18	24.52	25.35	27.53	30.71	14.38	0	
2006-06-19	46	34.62	34.17	40.59	22.52	0	
2006-06-20	43.23	31.21	37.57	44.85	23.75	18.7	
2006-06-21	41.33	29.63	31	42.31	18.59	15.43	
2006-06-22	33.19	23.35	31.03	35.91	15.98	13.9	
